,house_price_rotterdam,rental_agency_rotterdam,postcode_rotterdam,bedrooms_rotterdam,surface_rotterdam
383,1180.0,Jeeko BV,3012LD,2,50
384,1650.0,VERRA Real Estate Rotterdam,3011HV,3,93
385,1600.0,Loftly,3012GX,2,50
386,1316.0,Niya Vastgoed Beheer BV,3068JG,2,99
387,1295.0,BenHousing,3062TG,3,62
388,1350.0,ViaDaan,3022GA,2,50
389,1350.0,ViaDaan,3022GA,2,50
390,1650.0,Immobilia Real Estate,3061AJ,4,82
391,770.0,Rotterdam Apartments,3061AS,1,16
392,775.0,Rotterdam Apartments,3039DJ,1,20
393,1495.0,Kolpa Makelaars B.V.,3031AT,3,65
394,1750.0,Kolpa Makelaars B.V.,3056PJ,4,85
395,1495.0,VERRA Real Estate Rotterdam,3012VE,3,83
396,650.0,Max Suites,3081BH,1,13
397,1395.0,Housing Solutions,3083TG,4,80
398,485.0,Vlogmakelaars,3036XS,2,35
399,1430.0,BenHousing,3022AD,3,62
400,1600.0,VERRA Real Estate Rotterdam,3059RH,5,123
401,1300.0,Rotsvast Rotterdam,3063ED,3,80
402,1295.0,Perfectrent,3036PR,3,58
403,1495.0,Interhouse verhuurmakelaars Rotterdam,3016BM,2,95
404,1150.0,Rotterdam Apartments,3063AB,2,74
405,1895.0,Rotterdam Apartments,3074KE,5,87
406,1375.0,Rotterdam Apartments,3022AD,3,62
407,735.0,Rotterdam Apartments,3062TS,1,13
408,2500.0,Kolpa Makelaars B.V.,3039AD,6,265
409,675.0,Max Suites,3081BH,1,29
410,1050.0,Ideaal Housing & Makelaars,3074WJ,2,60
411,1300.0,Rental Rotterdam,3016AG,4,74
412,1050.0,Rental Rotterdam,3011RB,2,50
413,900.0,Rental Rotterdam,3061GD,2,40
414,1100.0,Rental Rotterdam,3038TG,2,50
415,1350.0,Max Property Rentals,3081GR,5,90
416,895.0,Perfectrent,3081EG,2,70
417,1495.0,Riva Rentals,3032EM,3,90
418,1840.0,Interhouse verhuurmakelaars Rotterdam,3023BA,4,108
419,745.0,Vlogmakelaars,3081GP,1,30
420,1495.0,Rotterdam Apartments,3063NK,3,80
421,1495.0,Riva Rentals,3063ED,3,80
422,475.0,Rotterdam Apartments,3074KE,1,20
423,475.0,Rotterdam Apartments,3074KE,1,20
424,475.0,Rotterdam Apartments,3074KE,1,20
425,860.0,Rotterdam Apartments,3077BN,1,20
426,1300.0,Velthaak en Keijzer Makelaars,3039RG,2,78
427,695.0,123Wonen Rotterdam,3062GM,1,28
428,1800.0,Casa Rental Services,3062PR,4,78
429,1600.0,Casa Rental Services,3024EW,3,100
430,1095.0,Vlogmakelaars,3073DW,4,100
431,1500.0,IRIS Housing Rotterdam,3011HV,3,93
432,750.0,Vlogmakelaars,3062TW,1,24
433,1253.0,Niya Vastgoed Beheer BV,3067LP,4,90
434,1750.0,Loftly,3072NK,3,103
435,975.0,Max Property Rentals,3032HC,2,52
436,925.0,Max Property Rentals,3085EK,3,60
437,1260.0,Max Property Rentals,3074XG,4,91
438,1495.0,Rotterdam Apartments,3012BL,3,84
439,1495.0,Stad en Land Makelaars,3071AD,3,95
440,1299.0,Victoria Lofts B.V.,3015BE,2,50
441,2050.0,EHR Rotterdam ,3039JE,4,82
442,1750.0,EHR Rotterdam ,3039VD,3,65
443,1250.0,ViaDaan,3038VH,2,55
444,1475.0,Ronifica Real Estate,3077SG,5,130
445,750.0,Juistwonen,3081ZJ,2,49
446,4000.0,BenHousing,3055LG,7,230
447,1400.0,NEXT Beheer,3082JA,4,91
448,825.0,Perfectrent,3061EW,2,40
449,845.0,Perfectrent,3061AJ,2,30
450,1650.0,Perfectrent,3039AB,4,100
451,1250.0,Riva Rentals,3011EH,3,65
452,1450.0,Interhouse verhuurmakelaars Rotterdam,3031AX,3,82
453,1495.0,Kolpa Makelaars B.V.,3011HE,2,75
454,950.0,123Wonen Rotterdam,3077BN,1,20
455,950.0,123Wonen Rotterdam,3077BN,1,26
456,1250.0,Kamen Home Rentals BV,3067NK,3,90
457,900.0,VHPN,3022ME,2,72
